id,url,name,type_id,type_name
KS120P86XDXZJT3B7KVJ,https://skills.emsidata.com/skills/KS120P86XDXZJT3B7KVJ,(American Society For Quality) ASQ Certified,ST3,Certification
KS126XS6CQCFGC3NG79X,https://skills.emsidata.com/skills/KS126XS6CQCFGC3NG79X,.NET Assemblies,ST1,Specialized Skill
ES50D03AC9CFC1A0BC93,https://skills.emsidata.com/skills/ES50D03AC9CFC1A0BC93,.NET Development,ST1,Specialized Skill
KS1200B62W5ZF38RJ7TD,https://skills.emsidata.com/skills/KS1200B62W5ZF38RJ7TD,.NET Framework,ST1,Specialized Skill
KS126XW78QJCF4TRV2X7,https://skills.emsidata.com/skills/KS126XW78QJCF4TRV2X7,.NET Framework 1,ST1,Specialized Skill
KS126XY68BNKXSBSLPYS,https://skills.emsidata.com/skills/KS126XY68BNKXSBSLPYS,.NET Framework 3,ST1,Specialized Skill
KS126XR63RKYVCKYDNBN,https://skills.emsidata.com/skills/KS126XR63RKYVCKYDNBN,.NET Framework 4,ST1,Specialized Skill
KS126Y166NXP5X1SLV6V,https://skills.emsidata.com/skills/KS126Y166NXP5X1SLV6V,.NET Reflector,ST1,Specialized Skill
KS126Y16DLZ0N5THPLDM,https://skills.emsidata.com/skills/KS126Y16DLZ0N5THPLDM,.NET Remoting,ST1,Specialized Skill
BGSA5DBAB2CA5E93368B,https://skills.emsidata.com/skills/BGSA5DBAB2CA5E93368B,.htaccess Files,ST1,Specialized Skill
KSLGDAXJ4EFDMIOPMGL2,https://skills.emsidata.com/skills/KSLGDAXJ4EFDMIOPMGL2,.nettiers,ST1,Specialized Skill
KS1200M68TBM4SXLZV0G,https://skills.emsidata.com/skills/KS1200M68TBM4SXLZV0G,10 Gigabit Ethernet,ST1,Specialized Skill
KSJCP2DYKDSINHFDMF51,https://skills.emsidata.com/skills/KSJCP2DYKDSINHFDMF51,1010data,ST1,Specialized Skill
KS1200L6T0NXQPW7Z8YR,https://skills.emsidata.com/skills/KS1200L6T0NXQPW7Z8YR,10BASE-F (Physical Layer Protocols),ST1,Specialized Skill
KS1200M620TMJ94XF70B,https://skills.emsidata.com/skills/KS1200M620TMJ94XF70B,10BASE-FL,ST1,Specialized Skill
KS1200K743J4NT3LXJ3B,https://skills.emsidata.com/skills/KS1200K743J4NT3LXJ3B,10BASE2,ST1,Specialized Skill
KS1200L6N1G9SQSN2K4C,https://skills.emsidata.com/skills/KS1200L6N1G9SQSN2K4C,10BASE5,ST1,Specialized Skill
KS4426Z6BVCJL5VZ46B9,https://skills.emsidata.com/skills/KS4426Z6BVCJL5VZ46B9,10G-PON,ST1,Specialized Skill
BGS17D5F207B94197B41,https://skills.emsidata.com/skills/BGS17D5F207B94197B41,12 Volt Electricity,ST1,Specialized Skill
KS1200P7676N5RQW5KZ0,https://skills.emsidata.com/skills/KS1200P7676N5RQW5KZ0,123RF (Image Library),ST1,Specialized Skill
KSG3JYO4PNRLSK692Z3J,https://skills.emsidata.com/skills/KSG3JYO4PNRLSK692Z3J,128bit,ST1,Specialized Skill
KSFX0RS58RA2JDB0PO5E,https://skills.emsidata.com/skills/KSFX0RS58RA2JDB0PO5E,12factor,ST1,Specialized Skill
ESF4BA869D66098F2ED0,https://skills.emsidata.com/skills/ESF4BA869D66098F2ED0,1Password,ST1,Specialized Skill
KS1200Y5ZNNT2B1M81RN,https://skills.emsidata.com/skills/KS1200Y5ZNNT2B1M81RN,2020 Design Software,ST1,Specialized Skill
KS1200Y714QV48TFJ75H,https://skills.emsidata.com/skills/KS1200Y714QV48TFJ75H,2D Animation,ST1,Specialized Skill
KS1200Y77WTLF0Y9J7TM,https://skills.emsidata.com/skills/KS1200Y77WTLF0Y9J7TM,2D Computer Graphics,ST1,Specialized Skill
ES30F1316344594A4359,https://skills.emsidata.com/skills/ES30F1316344594A4359,2D Computer-Aided Drafting And Design,ST1,Specialized Skill
KS1200Z77T1YZ4DJZ7M9,https://skills.emsidata.com/skills/KS1200Z77T1YZ4DJZ7M9,2D Gel Analysis Software,ST1,Specialized Skill
KSTJQLDSI2I585YSSY2K,https://skills.emsidata.com/skills/KSTJQLDSI2I585YSSY2K,2checkout,ST1,Specialized Skill
KS120166RRTL1W8CJK4K,https://skills.emsidata.com/skills/KS120166RRTL1W8CJK4K,3.5G (Telecommunication),ST1,Specialized Skill
KS120196S0WRN2WBY8ZR,https://skills.emsidata.com/skills/KS120196S0WRN2WBY8ZR,35 Mm Films,ST1,Specialized Skill
BGS146A23071499E566E,https://skills.emsidata.com/skills/BGS146A23071499E566E,360-Degree Feedback,ST1,Specialized Skill
KS126YN74S42KYQZCPH6,https://skills.emsidata.com/skills/KS126YN74S42KYQZCPH6,389 Directory Server (Fedora Project),ST1,Specialized Skill
KS1201C66L7TG167P9ZN,https://skills.emsidata.com/skills/KS1201C66L7TG167P9ZN,3COM Certified IP Telephony NBX Expert,ST3,Certification
KS1201D70SNS03FL6WB1,https://skills.emsidata.com/skills/KS1201D70SNS03FL6WB1,3COM Certified IP Telephony VCX Expert,ST3,Certification
KS1201F63V91RBJT9L04,https://skills.emsidata.com/skills/KS1201F63V91RBJT9L04,3CX Phone Systems,ST1,Specialized Skill
ESA0CCF8B28EE01393A7,https://skills.emsidata.com/skills/ESA0CCF8B28EE01393A7,3D Animation,ST1,Specialized Skill
KS1201F732CFS5JFTNQH,https://skills.emsidata.com/skills/KS1201F732CFS5JFTNQH,3D Art,ST1,Specialized Skill
KS1201G6D3S7LH8MTN6N,https://skills.emsidata.com/skills/KS1201G6D3S7LH8MTN6N,3D Camcorder,ST1,Specialized Skill
KS120146S76B3ZKN68X3,https://skills.emsidata.com/skills/KS120146S76B3ZKN68X3,3D Computer Graphics,ST1,Specialized Skill
KS1201J6B7ZYCJ92N7Z7,https://skills.emsidata.com/skills/KS1201J6B7ZYCJ92N7Z7,3D Computer Graphics Software,ST1,Specialized Skill
ES8A356166684EF3A883,https://skills.emsidata.com/skills/ES8A356166684EF3A883,3D Conformal Radiotherapy (3DCRT),ST1,Specialized Skill
KS1201H6XMJ7HKG59RQ1,https://skills.emsidata.com/skills/KS1201H6XMJ7HKG59RQ1,3D Graphic Design,ST1,Specialized Skill
KS1201477MH4F3DJK1RC,https://skills.emsidata.com/skills/KS1201477MH4F3DJK1RC,3D Modeling,ST1,Specialized Skill
KS126NG5VQMYFP0Z7024,https://skills.emsidata.com/skills/KS126NG5VQMYFP0Z7024,3D Modeling Software,ST1,Specialized Skill
KS1201K61KYYQZYYSCBC,https://skills.emsidata.com/skills/KS1201K61KYYQZYYSCBC,3D Projection,ST1,Specialized Skill
KS1201K6P46HG0XKD41J,https://skills.emsidata.com/skills/KS1201K6P46HG0XKD41J,3D Reconstruction,ST1,Specialized Skill
KS1201K6QY0SGLMR741J,https://skills.emsidata.com/skills/KS1201K6QY0SGLMR741J,3D Rendering,ST1,Specialized Skill
KS1201H64Z45S4JD1GMV,https://skills.emsidata.com/skills/KS1201H64Z45S4JD1GMV,3D Scanning,ST1,Specialized Skill
ES4DC1E7D01D31F76ADB,https://skills.emsidata.com/skills/ES4DC1E7D01D31F76ADB,3D Touch,ST1,Specialized Skill
