,ID,Name,Year,Rating,Duration,Reviews,Director,Genre,Link
0,tt5491994,Planet Earth II,2016,9.5,4h 58m,139,David Attenborough|Chadden Hunter|Elizabeth White,Documentary,https://www.imdb.com/title/tt5491994/
1,tt0795176,Planet Earth,2006,9.4,8h 58m,100,David Attenborough|Sigourney Weaver|Nikolay Drozdov,Documentary,https://www.imdb.com/title/tt0795176/
2,tt0903747,Breaking Bad,2008,9.4,49m,4K,Bryan Cranston|Aaron Paul|Anna Gunn,Crime|Drama|Thriller,https://www.imdb.com/title/tt0903747/
3,tt0185906,Band of Brothers,2001,9.4,9h 54m,929,Scott Grimes|Damian Lewis|Ron Livingston,Drama|History|War,https://www.imdb.com/title/tt0185906/
4,tt7366338,Chernobyl,2019,9.3,5h 30m,3.3K,Jessie Buckley|Jared Harris|Stellan Skarsgård,Drama|History|Thriller,https://www.imdb.com/title/tt7366338/
5,tt0306414,The Wire,2002,9.3,59m,622,Dominic West|Lance Reddick|Sonja Sohn,Crime|Drama|Thriller,https://www.imdb.com/title/tt0306414/
6,tt6769208,Blue Planet II,2017,9.3,6h 4m,46,David Attenborough|Peter Drost|Roger Munns,Documentary,https://www.imdb.com/title/tt6769208/
7,tt9253866,Our Planet,2019,9.2,6h 43m,216,David Attenborough,Documentary,https://www.imdb.com/title/tt9253866/
8,tt2395695,Cosmos: A Spacetime Odyssey,2014,9.2,9h 17m,187,Neil deGrasse Tyson|Christopher Emerson|Keythe Farley,Documentary,https://www.imdb.com/title/tt2395695/
9,tt0417299,Avatar: The Last Airbender,2005,9.2,23m,780,Dee Bradley Baker|Zach Tyler Eisen|Mae Whitman,Animation|Action|Adventure,https://www.imdb.com/title/tt0417299/
10,tt0081846,Cosmos,1980,9.2,13h,62,Carl Sagan|Jaromír Hanzlík|Jonathan Fahn,Documentary,https://www.imdb.com/title/tt0081846/
11,tt0141842,The Sopranos,1999,9.2,55m,731,James Gandolfini|Lorraine Bracco|Edie Falco,Crime|Drama,https://www.imdb.com/title/tt0141842/
12,tt0944947,Game of Thrones,2011,9.2,57m,5.2K,Emilia Clarke|Peter Dinklage|Kit Harington,Action|Adventure|Drama,https://www.imdb.com/title/tt0944947/
13,tt2861424,Rick and Morty,2013,9.1,23m,782,Justin Roiland|Chris Parnell|Spencer Grammer,Animation|Adventure|Comedy,https://www.imdb.com/title/tt2861424/
14,tt11126994,Arcane: League of Legends,2021,9.1,41m,1.1K,Hailee Steinfeld|Kevin Alejandro|Jason Spisak,Animation|Action|Adventure,https://www.imdb.com/title/tt11126994/
